task_id,task_type,zone,volume_m3,estimated_buckets,weather,operator_id,operator_skill,machine_id,machine_age,estimated_time_min,actual_time_min,start_time
T716,excavation,zone_d,151.1,101,clear,OP1005,novice,EXC004,8.0,50.5,93.8,2026-06-16 07:49:22.037248
T717,loading,zone_d,102.5,69,clear,OP1006,expert,EXC004,8.0,34.5,62.6,2026-06-16 09:31:06.561483
T718,loading,zone_d,74.9,50,rain,OP1001,expert,EXC004,8.0,29.0,75.1,2026-06-16 10:45:15.936944
T719,grading,zone_d,125.2,84,cloudy,OP1004,intermediate,EXC004,8.0,43.3,55.2,2026-06-16 12:11:49.991367
T720,hauling,zone_d,34.1,23,rain,OP1006,expert,EXC004,8.0,13.4,39.5,2026-06-16 13:19:44.658242
T721,grading,zone_d,92.3,62,clear,OP1012,expert,EXC004,8.0,31.3,36.3,2026-06-16 14:11:12.086334
T722,trenching,zone_d,89.3,60,clear,OP1001,expert,EXC004,8.0,30.2,34.8,2026-06-16 14:54:25.175017
T723,excavation,zone_a,104.4,70,clear,OP1018,novice,EXC005,1.5,35.0,56.3,2026-06-16 07:00:00.000000
T724,loading,zone_a,106.5,71,rain,OP1012,expert,EXC005,1.5,41.4,61.2,2026-06-16 08:10:39.035508
T725,excavation,zone_a,195.2,131,clear,OP1006,expert,EXC005,1.5,65.5,69.2,2026-06-16 09:24:32.482600
T726,trenching,zone_a,113.4,76,rain,OP1003,expert,EXC005,1.5,44.9,43.6,2026-06-16 10:42:31.304766
T727,excavation,zone_a,144.6,97,clear,OP1008,expert,EXC005,1.5,48.5,51.2,2026-06-16 11:33:01.321889
T728,excavation,zone_a,120.0,80,cloudy,OP1018,novice,EXC005,1.5,41.2,63.7,2026-06-16 12:38:57.525035
T729,hauling,zone_b,53.4,36,clear,OP1010,intermediate,EXC006,5.3,18.0,42.6,2026-06-16 07:00:00.000000
T730,hauling,zone_b,66.7,45,clear,OP1002,intermediate,EXC006,5.3,22.5,63.0,2026-06-16 07:50:48.970111
T731,hauling,zone_b,87.9,59,clear,OP1014,expert,EXC006,5.3,29.5,69.3,2026-06-16 09:02:19.683747
T732,loading,zone_b,55.3,37,rain,OP1016,novice,EXC006,5.3,21.4,53.6,2026-06-16 10:24:26.425795
T733,trenching,zone_b,68.0,46,clear,OP1001,expert,EXC006,5.3,23.0,31.6,2026-06-16 11:25:03.478101
T734,hauling,zone_b,86.5,58,cloudy,OP1015,intermediate,EXC006,5.3,29.9,76.5,2026-06-16 12:04:17.195565
T735,grading,zone_c,107.4,72,clear,OP1001,expert,EXC007,1.0,36.0,41.1,2026-06-16 07:00:00.000000
T736,trenching,zone_c,120.3,81,clear,OP1019,expert,EXC007,1.0,40.5,44.7,2026-06-16 07:48:16.066635
T737,grading,zone_c,62.6,42,rain,OP1010,intermediate,EXC007,1.0,24.8,36.4,2026-06-16 08:40:41.667906
T738,trenching,zone_c,82.2,55,clear,OP1002,intermediate,EXC007,1.0,27.5,38.1,2026-06-16 09:24:22.467871
T739,hauling,zone_c,86.6,58,rain,OP1004,intermediate,EXC007,1.0,33.7,84.1,2026-06-16 10:11:38.498490
T740,grading,zone_c,74.6,50,clear,OP1002,intermediate,EXC007,1.0,25.0,33.3,2026-06-16 11:45:46.218853
T741,grading,zone_d,132.6,89,clear,OP1020,intermediate,EXC008,6.2,44.5,57.6,2026-06-16 07:00:00.000000
T742,loading,zone_d,108.1,73,rain,OP1012,expert,EXC008,6.2,42.6,77.7,2026-06-16 08:07:47.143961
T743,trenching,zone_d,109.1,73,clear,OP1016,novice,EXC008,6.2,36.5,53.6,2026-06-16 09:36:06.666423
T744,hauling,zone_d,66.1,45,rain,OP1004,intermediate,EXC008,6.2,26.1,70.3,2026-06-16 10:43:27.609763
T745,excavation,zone_a,201.3,135,cloudy,OP1011,intermediate,EXC001,5.5,69.5,73.8,2026-06-17 07:00:00.000000
T746,hauling,zone_a,42.3,29,clear,OP1007,expert,EXC001,5.5,14.5,59.3,2026-06-17 08:23:45.886577
T747,hauling,zone_a,39.4,27,rain,OP1015,intermediate,EXC001,5.5,15.6,51.3,2026-06-17 09:35:43.349646
T748,hauling,zone_a,50.7,34,clear,OP1011,intermediate,EXC001,5.5,17.1,47.3,2026-06-17 10:37:40.691155
T749,grading,zone_a,87.7,59,clear,OP1016,novice,EXC001,5.5,29.5,39.9,2026-06-17 11:38:41.597070
T750,hauling,zone_a,34.7,24,clear,OP1006,expert,EXC001,5.5,12.0,43.1,2026-06-17 12:28:42.894508
T751,grading,zone_a,115.3,77,cloudy,OP1019,expert,EXC001,5.5,40.1,47.0,2026-06-17 13:23:47.857649
T752,grading,zone_b,79.5,53,cloudy,OP1016,novice,EXC002,7.7,27.3,54.1,2026-06-17 07:00:00.000000
T753,loading,zone_b,50.4,34,clear,OP1014,expert,EXC002,7.7,17.0,67.3,2026-06-17 08:03:13.548223
T754,hauling,zone_b,34.6,24,rain,OP1018,novice,EXC002,7.7,14.0,57.3,2026-06-17 09:17:16.494490
T755,excavation,zone_b,186.9,125,clear,OP1001,expert,EXC002,7.7,62.7,102.6,2026-06-17 10:26:32.332750
T756,trenching,zone_c,64.5,43,cloudy,OP1004,intermediate,EXC003,7.2,22.1,36.8,2026-06-17 07:00:00.000000
T757,trenching,zone_c,120.7,81,cloudy,OP1013,intermediate,EXC003,7.2,41.7,56.6,2026-06-17 07:45:58.350880
T758,trenching,zone_c,83.8,56,clear,OP1012,expert,EXC003,7.2,28.0,33.3,2026-06-17 08:52:42.711572
T759,grading,zone_c,94.0,63,rain,OP1008,expert,EXC003,7.2,37.0,38.5,2026-06-17 09:31:13.085849
T760,grading,zone_c,134.1,90,clear,OP1008,expert,EXC003,7.2,45.2,49.6,2026-06-17 10:17:20.740664
T761,trenching,zone_d,98.0,66,cloudy,OP1013,intermediate,EXC004,8.0,34.0,45.1,2026-06-17 07:00:00.000000
T762,excavation,zone_d,138.6,93,cloudy,OP1003,expert,EXC004,8.0,47.9,50.2,2026-06-17 07:56:33.127296
T763,grading,zone_d,118.1,79,clear,OP1016,novice,EXC004,8.0,39.5,51.0,2026-06-17 08:58:07.439899
T764,excavation,zone_d,200.7,134,rain,OP1011,intermediate,EXC004,8.0,78.8,85.6,2026-06-17 09:58:28.137017
T765,loading,zone_d,92.7,62,clear,OP1004,intermediate,EXC004,8.0,31.0,72.1,2026-06-17 11:30:58.754502
T766,grading,zone_d,107.3,72,clear,OP1009,novice,EXC004,8.0,36.1,53.3,2026-06-17 12:57:13.860726
T767,loading,zone_a,117.0,78,cloudy,OP1016,novice,EXC005,1.5,40.2,89.1,2026-06-17 07:00:00.000000
T768,loading,zone_a,74.8,50,clear,OP1003,expert,EXC005,1.5,25.0,68.3,2026-06-17 08:39:36.827673
T769,grading,zone_a,85.6,58,rain,OP1012,expert,EXC005,1.5,33.8,41.7,2026-06-17 09:59:14.203407
T770,hauling,zone_a,56.0,38,clear,OP1018,novice,EXC005,1.5,19.1,58.3,2026-06-17 10:47:36.864905
T771,hauling,zone_a,61.5,41,clear,OP1007,expert,EXC005,1.5,20.5,40.6,2026-06-17 11:59:44.063191
T772,excavation,zone_a,128.2,86,clear,OP1009,novice,EXC005,1.5,43.1,61.9,2026-06-17 12:47:56.723169
T773,hauling,zone_a,46.2,31,clear,OP1003,expert,EXC005,1.5,15.5,47.6,2026-06-17 14:01:56.479228
T774,hauling,zone_b,60.2,41,cloudy,OP1020,intermediate,EXC006,5.3,21.1,64.6,2026-06-17 07:00:00.000000
T775,excavation,zone_b,172.4,115,clear,OP1007,expert,EXC006,5.3,57.5,63.9,2026-06-17 08:12:50.354053
T776,hauling,zone_b,38.9,26,rain,OP1004,intermediate,EXC006,5.3,15.1,57.8,2026-06-17 09:26:10.713793
T777,trenching,zone_b,97.5,65,clear,OP1013,intermediate,EXC006,5.3,32.7,50.6,2026-06-17 10:33:56.115177
T778,excavation,zone_b,218.8,146,clear,OP1010,intermediate,EXC006,5.3,73.0,94.3,2026-06-17 11:36:08.142507
T779,trenching,zone_b,57.8,39,cloudy,OP1020,intermediate,EXC006,5.3,20.4,36.0,2026-06-17 13:15:26.899541
T780,grading,zone_b,64.8,44,cloudy,OP1008,expert,EXC006,5.3,23.1,33.2,2026-06-17 13:59:03.526211
T781,trenching,zone_b,122.8,82,clear,OP1001,expert,EXC006,5.3,41.0,47.0,2026-06-17 14:44:28.037406
T782,trenching,zone_c,78.3,53,cloudy,OP1020,intermediate,EXC007,1.0,27.3,39.9,2026-06-17 07:00:00.000000
T783,excavation,zone_c,121.8,82,cloudy,OP1010,intermediate,EXC007,1.0,42.2,48.3,2026-06-17 07:47:37.263432
T784,excavation,zone_c,133.2,89,clear,OP1011,intermediate,EXC007,1.0,44.5,52.9,2026-06-17 08:47:30.944425
T785,excavation,zone_c,177.9,119,rain,OP1003,expert,EXC007,1.0,70.4,70.8,2026-06-17 09:49:49.344230
T786,hauling,zone_c,82.0,55,clear,OP1018,novice,EXC007,1.0,27.5,75.3,2026-06-17 11:05:57.104436
T787,trenching,zone_d,82.2,55,cloudy,OP1004,intermediate,EXC008,6.2,28.3,43.0,2026-06-17 07:00:00.000000
T788,hauling,zone_d,78.7,53,cloudy,OP1019,expert,EXC008,6.2,27.3,74.5,2026-06-17 07:56:07.992257
T789,hauling,zone_d,43.5,29,rain,OP1015,intermediate,EXC008,6.2,16.7,55.5,2026-06-17 09:20:15.406117
T790,excavation,zone_d,82.4,55,clear,OP1016,novice,EXC008,6.2,27.6,44.6,2026-06-17 10:25:14.945558
T791,hauling,zone_d,45.8,31,clear,OP1015,intermediate,EXC008,6.2,15.5,58.4,2026-06-17 11:23:43.403849
T792,trenching,zone_a,100.4,67,clear,OP1013,intermediate,EXC001,5.5,33.5,46.8,2026-06-18 07:00:00.000000
T793,hauling,zone_a,78.3,53,clear,OP1017,intermediate,EXC001,5.5,26.5,67.1,2026-06-18 08:01:00.565137
T794,trenching,zone_a,129.7,87,cloudy,OP1019,expert,EXC001,5.5,44.8,49.1,2026-06-18 09:18:01.295223
T795,hauling,zone_a,68.5,46,clear,OP1017,intermediate,EXC001,5.5,23.0,59.8,2026-06-18 10:12:46.423520
T796,hauling,zone_a,67.2,45,clear,OP1010,intermediate,EXC001,5.5,22.7,56.0,2026-06-18 11:25:45.882496
T797,hauling,zone_b,58.8,40,clear,OP1010,intermediate,EXC002,7.7,20.0,75.9,2026-06-18 07:00:00.000000
T798,trenching,zone_b,89.0,60,clear,OP1020,intermediate,EXC002,7.7,30.0,58.9,2026-06-18 08:23:57.001665
T799,excavation,zone_b,167.3,112,cloudy,OP1020,intermediate,EXC002,7.7,57.7,103.8,2026-06-18 09:33:58.277113
T800,loading,zone_b,57.1,39,clear,OP1009,novice,EXC002,7.7,19.7,58.9,2026-06-18 11:32:05.082908
T801,excavation,zone_b,176.3,118,clear,OP1009,novice,EXC002,7.7,59.4,135.5,2026-06-18 12:41:43.403112
T802,loading,zone_b,104.8,70,cloudy,OP1018,novice,EXC002,7.7,36.1,130.9,2026-06-18 15:04:06.044946
T803,trenching,zone_c,85.0,57,clear,OP1004,intermediate,EXC003,7.2,28.5,39.1,2026-06-18 07:00:00.000000
T804,hauling,zone_c,81.9,55,clear,OP1019,expert,EXC003,7.2,27.5,63.7,2026-06-18 07:51:27.918834
T805,trenching,zone_c,127.4,85,cloudy,OP1003,expert,EXC003,7.2,43.8,47.0,2026-06-18 09:04:13.297867
T806,hauling,zone_c,84.9,57,cloudy,OP1001,expert,EXC003,7.2,29.4,63.7,2026-06-18 09:59:58.921607
T807,excavation,zone_c,159.4,107,clear,OP1017,intermediate,EXC003,7.2,54.1,68.0,2026-06-18 11:15:14.663177
T808,loading,zone_c,98.3,66,clear,OP1009,novice,EXC003,7.2,33.2,67.8,2026-06-18 12:34:56.388025
T809,grading,zone_c,138.7,93,clear,OP1010,intermediate,EXC003,7.2,47.6,54.8,2026-06-18 13:49:15.259329
T810,grading,zone_d,110.6,74,clear,OP1016,novice,EXC004,8.0,37.0,51.5,2026-06-18 07:00:00.000000
T811,trenching,zone_d,124.1,83,clear,OP1009,novice,EXC004,8.0,41.5,65.5,2026-06-18 07:59:01.234230
T812,grading,zone_d,67.0,45,cloudy,OP1006,expert,EXC004,8.0,23.2,30.8,2026-06-18 09:16:48.326246
T813,excavation,zone_d,154.1,103,cloudy,OP1019,expert,EXC004,8.0,53.0,66.2,2026-06-18 09:54:12.945139
T814,hauling,zone_d,37.3,25,clear,OP1020,intermediate,EXC004,8.0,12.6,57.8,2026-06-18 11:12:52.516562
T815,excavation,zone_d,134.9,90,clear,OP1011,intermediate,EXC004,8.0,45.5,52.5,2026-06-18 12:24:08.061710
T816,excavation,zone_d,199.9,134,clear,OP1010,intermediate,EXC004,8.0,68.6,87.5,2026-06-18 13:28:27.838444
T817,excavation,zone_d,216.8,145,cloudy,OP1010,intermediate,EXC004,8.0,74.7,94.0,2026-06-18 15:01:14.972019
T818,trenching,zone_a,78.4,53,clear,OP1013,intermediate,EXC005,1.5,26.5,37.2,2026-06-18 07:00:00.000000
T819,loading,zone_a,60.8,41,clear,OP1006,expert,EXC005,1.5,20.5,55.9,2026-06-18 07:44:18.391929
T820,loading,zone_a,53.5,36,clear,OP1011,intermediate,EXC005,1.5,18.0,52.6,2026-06-18 08:49:20.747111
T821,grading,zone_a,129.0,86,cloudy,OP1009,novice,EXC005,1.5,44.3,63.3,2026-06-18 09:51:57.429927
T822,excavation,zone_a,84.5,57,clear,OP1020,intermediate,EXC005,1.5,28.8,36.0,2026-06-18 11:07:36.335672
T823,loading,zone_a,88.4,59,clear,OP1005,novice,EXC005,1.5,29.9,73.1,2026-06-18 11:55:43.946676
T824,grading,zone_b,110.7,74,clear,OP1014,expert,EXC006,5.3,37.0,48.0,2026-06-18 07:00:00.000000
T825,trenching,zone_b,100.2,67,clear,OP1001,expert,EXC006,5.3,33.5,39.2,2026-06-18 08:00:06.334770
T826,loading,zone_b,57.4,39,clear,OP1012,expert,EXC006,5.3,19.5,44.6,2026-06-18 08:45:41.769763
T827,hauling,zone_b,38.2,26,cloudy,OP1012,expert,EXC006,5.3,13.4,46.4,2026-06-18 09:36:56.837708
T828,grading,zone_c,124.0,83,clear,OP1015,intermediate,EXC007,1.0,41.5,53.1,2026-06-18 07:00:00.000000
T829,excavation,zone_c,170.3,114,clear,OP1001,expert,EXC007,1.0,57.0,64.8,2026-06-18 07:58:50.949801
T830,loading,zone_c,116.7,78,cloudy,OP1007,expert,EXC007,1.0,40.2,85.9,2026-06-18 09:14:11.379475
T831,trenching,zone_c,118.7,80,clear,OP1007,expert,EXC007,1.0,40.0,50.1,2026-06-18 10:53:20.270319
T832,hauling,zone_c,70.5,47,clear,OP1006,expert,EXC007,1.0,23.8,71.1,2026-06-18 11:55:08.813813
T833,loading,zone_c,84.5,57,clear,OP1009,novice,EXC007,1.0,29.2,81.6,2026-06-18 13:20:23.858195
T834,loading,zone_c,99.4,67,clear,OP1011,intermediate,EXC007,1.0,33.5,67.1,2026-06-18 14:55:43.431388
T835,grading,zone_c,107.1,72,rain,OP1005,novice,EXC007,1.0,41.6,82.7,2026-06-18 16:14:01.303910
T836,trenching,zone_d,107.5,72,clear,OP1019,expert,EXC008,6.2,36.0,41.7,2026-06-18 07:00:00.000000
T837,hauling,zone_d,48.2,33,clear,OP1001,expert,EXC008,6.2,16.5,59.7,2026-06-18 07:54:00.027840
T838,grading,zone_d,136.1,91,cloudy,OP1019,expert,EXC008,6.2,46.9,56.8,2026-06-18 09:01:34.912091
T839,hauling,zone_d,58.0,39,clear,OP1013,intermediate,EXC008,6.2,19.5,40.1,2026-06-18 10:05:38.606412
T840,grading,zone_d,73.3,49,clear,OP1012,expert,EXC008,6.2,24.5,33.8,2026-06-18 10:51:53.697131
T841,grading,zone_d,122.2,82,clear,OP1006,expert,EXC008,6.2,41.5,47.4,2026-06-18 11:32:13.613522
T842,trenching,zone_a,110.5,74,clear,OP1011,intermediate,EXC001,5.5,37.0,44.8,2026-06-19 07:00:00.000000
T843,loading,zone_a,96.5,65,clear,OP1013,intermediate,EXC001,5.5,32.5,62.7,2026-06-19 07:55:10.619167
T844,loading,zone_a,58.9,40,rain,OP1015,intermediate,EXC001,5.5,23.1,58.8,2026-06-19 09:07:25.321089
T845,excavation,zone_a,110.8,74,clear,OP1006,expert,EXC001,5.5,37.0,43.2,2026-06-19 10:18:25.508990
T846,hauling,zone_a,88.3,59,clear,OP1015,intermediate,EXC001,5.5,29.5,59.2,2026-06-19 11:09:52.631520
T847,grading,zone_a,138.3,93,storm,OP1012,expert,EXC001,5.5,63.8,70.4,2026-06-19 12:14:55.454254
T848,excavation,zone_b,166.9,112,clear,OP1016,novice,EXC002,7.7,56.0,111.5,2026-06-19 07:00:00.000000
T849,grading,zone_b,81.3,55,rain,OP1018,novice,EXC002,7.7,32.1,79.0,2026-06-19 09:01:36.236957
T850,excavation,zone_b,217.6,146,clear,OP1011,intermediate,EXC002,7.7,73.0,120.3,2026-06-19 10:32:45.791986
T851,loading,zone_b,105.1,71,storm,OP1012,expert,EXC002,7.7,48.7,119.9,2026-06-19 12:46:59.426839
T852,grading,zone_c,109.0,73,clear,OP1020,intermediate,EXC003,7.2,36.5,46.6,2026-06-19 07:00:00.000000
T853,grading,zone_c,83.0,56,clear,OP1004,intermediate,EXC003,7.2,28.0,35.2,2026-06-19 08:00:56.522424
T854,loading,zone_c,56.6,38,clear,OP1006,expert,EXC003,7.2,19.0,61.1,2026-06-19 08:48:34.570445
T855,trenching,zone_c,84.2,57,rain,OP1013,intermediate,EXC003,7.2,33.7,46.8,2026-06-19 09:57:45.778103
T856,grading,zone_c,101.7,68,clear,OP1016,novice,EXC003,7.2,34.0,47.8,2026-06-19 10:54:14.007203
T857,excavation,zone_c,95.1,64,clear,OP1016,novice,EXC003,7.2,32.0,46.6,2026-06-19 11:52:50.790954
T858,excavation,zone_d,152.0,102,clear,OP1019,expert,EXC004,8.0,51.0,62.0,2026-06-19 07:00:00.000000
T859,trenching,zone_d,63.1,43,clear,OP1015,intermediate,EXC004,8.0,21.5,32.0,2026-06-19 08:07:23.758944
T860,grading,zone_d,107.3,72,clear,OP1003,expert,EXC004,8.0,36.0,38.6,2026-06-19 08:51:11.168304
T861,trenching,zone_d,107.4,72,rain,OP1005,novice,EXC004,8.0,41.6,77.9,2026-06-19 09:43:14.804598
T862,grading,zone_d,84.6,57,clear,OP1005,novice,EXC004,8.0,28.5,62.4,2026-06-19 11:07:51.032650
T863,trenching,zone_a,117.9,79,clear,OP1020,intermediate,EXC005,1.5,39.5,46.1,2026-06-19 07:00:00.000000
T864,excavation,zone_a,80.2,54,clear,OP1008,expert,EXC005,1.5,27.0,34.3,2026-06-19 08:01:02.830869
T865,trenching,zone_a,115.4,77,clear,OP1001,expert,EXC005,1.5,38.5,44.1,2026-06-19 08:42:00.161695
T866,hauling,zone_a,42.5,29,rain,OP1009,novice,EXC005,1.5,17.0,42.7,2026-06-19 09:32:36.448238
T867,excavation,zone_a,146.2,98,clear,OP1009,novice,EXC005,1.5,49.0,62.1,2026-06-19 10:28:21.256736
T868,grading,zone_a,78.0,52,clear,OP1006,expert,EXC005,1.5,26.0,35.0,2026-06-19 11:39:38.561622
T869,excavation,zone_a,120.6,81,storm,OP1005,novice,EXC005,1.5,54.9,83.4,2026-06-19 12:28:23.979158
T870,trenching,zone_a,113.3,76,clear,OP1001,expert,EXC005,1.5,38.0,43.3,2026-06-19 14:03:25.516658
T871,trenching,zone_b,84.5,57,clear,OP1008,expert,EXC006,5.3,28.5,36.3,2026-06-19 07:00:00.000000
T872,trenching,zone_b,106.7,72,clear,OP1009,novice,EXC006,5.3,36.0,60.8,2026-06-19 07:41:22.662870
T873,loading,zone_b,92.8,62,clear,OP1005,novice,EXC006,5.3,31.0,104.2,2026-06-19 08:48:22.880504
T874,trenching,zone_b,61.8,42,clear,OP1013,intermediate,EXC006,5.3,21.0,36.3,2026-06-19 10:45:22.372031
T875,loading,zone_b,98.2,66,clear,OP1001,expert,EXC006,5.3,33.0,59.5,2026-06-19 11:31:21.950213
T876,grading,zone_c,79.4,53,clear,OP1020,intermediate,EXC007,1.0,26.5,39.7,2026-06-19 07:00:00.000000
T877,loading,zone_c,101.3,68,clear,OP1017,intermediate,EXC007,1.0,34.0,60.4,2026-06-19 07:44:57.392667
T878,grading,zone_c,85.7,58,clear,OP1017,intermediate,EXC007,1.0,29.0,40.2,2026-06-19 08:58:28.284620
T879,loading,zone_c,104.2,70,rain,OP1003,expert,EXC007,1.0,41.4,75.4,2026-06-19 09:52:39.388291
T880,grading,zone_c,76.7,52,clear,OP1018,novice,EXC007,1.0,26.0,51.5,2026-06-19 11:16:53.248089
T881,loading,zone_d,51.4,35,clear,OP1003,expert,EXC008,6.2,17.5,47.0,2026-06-19 07:00:00.000000
T882,grading,zone_d,91.7,62,clear,OP1007,expert,EXC008,6.2,31.0,36.6,2026-06-19 07:55:59.795770
T883,loading,zone_d,119.0,80,clear,OP1006,expert,EXC008,6.2,40.0,79.1,2026-06-19 08:45:49.163257
T884,hauling,zone_d,88.5,59,clear,OP1001,expert,EXC008,6.2,29.5,52.2,2026-06-19 10:11:07.402383
T885,excavation,zone_d,189.1,127,clear,OP1002,intermediate,EXC008,6.2,63.5,88.0,2026-06-19 11:17:01.399246
T886,loading,zone_d,43.5,29,storm,OP1004,intermediate,EXC008,6.2,19.8,45.3,2026-06-19 12:54:09.106267
T887,grading,zone_d,130.8,88,clear,OP1009,novice,EXC008,6.2,44.8,70.4,2026-06-19 13:52:49.681534
T888,hauling,zone_a,63.7,43,clear,OP1012,expert,EXC001,5.5,21.5,60.4,2026-06-20 07:00:00.000000
T889,excavation,zone_a,110.5,74,storm,OP1012,expert,EXC001,5.5,49.4,56.9,2026-06-20 08:12:05.586626
T890,hauling,zone_a,79.0,53,clear,OP1010,intermediate,EXC001,5.5,26.5,63.4,2026-06-20 09:20:44.477825
T891,trenching,zone_a,117.9,79,clear,OP1003,expert,EXC001,5.5,39.5,42.4,2026-06-20 10:31:19.076509
T892,hauling,zone_a,74.4,50,clear,OP1005,novice,EXC001,5.5,25.0,97.7,2026-06-20 11:21:47.158130
T893,excavation,zone_a,100.5,67,clear,OP1019,expert,EXC001,5.5,33.5,42.8,2026-06-20 13:13:40.890516
T894,loading,zone_a,90.9,61,cloudy,OP1015,intermediate,EXC001,5.5,31.9,56.7,2026-06-20 14:11:17.279578
T895,hauling,zone_b,32.0,22,clear,OP1001,expert,EXC002,7.7,11.0,37.3,2026-06-20 07:00:00.000000
T896,trenching,zone_b,108.5,73,clear,OP1004,intermediate,EXC002,7.7,36.5,77.3,2026-06-20 07:46:48.398582
T897,grading,zone_b,96.8,65,clear,OP1002,intermediate,EXC002,7.7,32.5,73.4,2026-06-20 09:11:33.162972
T898,grading,zone_b,93.5,63,clear,OP1003,expert,EXC002,7.7,31.5,50.1,2026-06-20 10:34:30.797396
T899,excavation,zone_b,129.3,87,clear,OP1009,novice,EXC002,7.7,43.5,102.9,2026-06-20 11:38:34.763314
T900,grading,zone_b,121.8,82,clear,OP1019,expert,EXC002,7.7,41.0,75.4,2026-06-20 13:33:50.552201
T901,trenching,zone_c,96.1,65,clear,OP1016,novice,EXC003,7.2,32.5,45.7,2026-06-20 07:00:00.000000
T902,hauling,zone_c,80.4,54,clear,OP1002,intermediate,EXC003,7.2,27.0,73.5,2026-06-20 07:51:13.908828
T903,trenching,zone_c,114.3,77,clear,OP1015,intermediate,EXC003,7.2,38.5,49.5,2026-06-20 09:11:06.256312
T904,excavation,zone_c,156.1,105,clear,OP1018,novice,EXC003,7.2,52.5,84.3,2026-06-20 10:09:10.084935
T905,loading,zone_c,70.0,47,clear,OP1017,intermediate,EXC003,7.2,23.5,63.4,2026-06-20 11:39:54.384031
T906,trenching,zone_d,78.9,53,clear,OP1009,novice,EXC004,8.0,26.5,46.2,2026-06-20 07:00:00.000000
T907,loading,zone_d,44.3,30,clear,OP1008,expert,EXC004,8.0,15.0,38.7,2026-06-20 07:55:32.571708
T908,loading,zone_d,70.9,48,storm,OP1006,expert,EXC004,8.0,31.8,70.7,2026-06-20 08:40:18.373961
T909,hauling,zone_d,88.2,59,clear,OP1005,novice,EXC004,8.0,29.5,95.4,2026-06-20 09:58:56.199913
T910,loading,zone_d,93.7,63,clear,OP1016,novice,EXC004,8.0,31.5,62.0,2026-06-20 11:48:20.912832
T911,excavation,zone_d,173.5,116,clear,OP1002,intermediate,EXC004,8.0,58.0,79.9,2026-06-20 13:05:12.761678
T912,hauling,zone_d,70.2,47,cloudy,OP1015,intermediate,EXC004,8.0,24.6,54.6,2026-06-20 14:34:54.534414
T913,trenching,zone_a,100.8,68,clear,OP1015,intermediate,EXC005,1.5,34.0,42.4,2026-06-20 07:00:00.000000
T914,hauling,zone_a,54.4,37,clear,OP1004,intermediate,EXC005,1.5,18.5,41.6,2026-06-20 07:51:46.968462
T915,loading,zone_a,112.1,75,storm,OP1015,intermediate,EXC005,1.5,49.0,84.5,2026-06-20 08:45:00.661329
T916,grading,zone_a,101.5,68,clear,OP1011,intermediate,EXC005,1.5,34.0,38.3,2026-06-20 10:16:30.417519
T917,hauling,zone_a,33.4,23,clear,OP1008,expert,EXC005,1.5,11.5,33.8,2026-06-20 11:02:53.650029
T918,grading,zone_a,148.1,99,clear,OP1001,expert,EXC005,1.5,49.5,50.0,2026-06-20 11:45:59.075094
T919,loading,zone_a,96.0,64,clear,OP1010,intermediate,EXC005,1.5,32.4,64.5,2026-06-20 12:42:36.644585
T920,loading,zone_b,103.7,70,clear,OP1016,novice,EXC006,5.3,35.0,88.9,2026-06-20 07:00:00.000000
T921,hauling,zone_b,54.3,37,storm,OP1019,expert,EXC006,5.3,24.4,57.3,2026-06-20 08:39:09.437853
T922,loading,zone_b,44.5,30,clear,OP1010,intermediate,EXC006,5.3,15.0,65.0,2026-06-20 09:46:32.678270
T923,trenching,zone_b,108.4,73,clear,OP1015,intermediate,EXC006,5.3,36.5,53.3,2026-06-20 10:58:02.618373
T924,hauling,zone_b,51.7,35,clear,OP1018,novice,EXC006,5.3,17.7,63.1,2026-06-20 12:05:52.040955
T925,grading,zone_b,106.3,71,clear,OP1005,novice,EXC006,5.3,35.5,79.3,2026-06-20 13:16:59.418521
T926,excavation,zone_c,90.6,61,clear,OP1001,expert,EXC007,1.0,30.5,41.3,2026-06-20 07:00:00.000000
T927,hauling,zone_c,48.2,33,clear,OP1008,expert,EXC007,1.0,16.5,62.6,2026-06-20 07:50:49.316384
T928,excavation,zone_c,89.5,60,clear,OP1015,intermediate,EXC007,1.0,30.0,41.2,2026-06-20 09:03:45.445495
T929,excavation,zone_c,203.0,136,clear,OP1019,expert,EXC007,1.0,68.0,82.4,2026-06-20 09:54:40.925306
T930,hauling,zone_c,33.2,23,clear,OP1014,expert,EXC007,1.0,11.5,50.4,2026-06-20 11:26:17.551957
T931,hauling,zone_d,83.1,56,clear,OP1013,intermediate,EXC008,6.2,28.0,64.7,2026-06-20 07:00:00.000000
T932,trenching,zone_d,91.3,61,storm,OP1009,novice,EXC008,6.2,41.0,60.7,2026-06-20 08:14:16.086001
T933,excavation,zone_d,168.5,113,clear,OP1008,expert,EXC008,6.2,56.5,60.6,2026-06-20 09:22:35.644870
T934,loading,zone_d,73.0,49,clear,OP1004,intermediate,EXC008,6.2,24.5,74.6,2026-06-20 10:28:56.934052
T935,loading,zone_d,66.3,45,clear,OP1016,novice,EXC008,6.2,22.5,63.3,2026-06-20 11:54:30.641383
T936,grading,zone_d,135.5,91,clear,OP1018,novice,EXC008,6.2,45.5,79.6,2026-06-20 13:03:33.436478
T937,excavation,zone_d,182.6,122,cloudy,OP1016,novice,EXC008,6.2,63.7,96.1,2026-06-20 14:33:39.068646
